Peak Frequency,Lower Frequency Bound,Upper Frequency Bound,Frequency Span,Peak Time,Event Onset Time,Event Offset Time,Event Duration,Peak Power,Normalized Peak Power,Filename,Channel_Number
11,8,14,6,3.154,3.054,3.25,0.204,7.291265557785071e-14,7.649018539133009,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,9,30,21,0.476,0.384,0.56,0.176,6.585891626207607e-14,6.436195201266031,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,10,4,2.694,2.51,2.94,0.43,6.23557236542914e-14,7.169161531843095,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,12,5,2.99,2.55,3.18,0.63,3.5210682899422215e-14,4.1098486970357815,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,12,4,1.16,0.996,1.326,0.33,3.883794687359111e-14,4.460795751870101,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,10,15,5,2.074,1.686,2.204,0.518,4.247510232562791e-14,4.150964900084621,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,9,13,4,1.77,1.61,1.902,0.292,4.1791880030190994e-14,4.384243895695679,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,10,15,5,0.928,0.84,1.048,0.208,7.209290104215021e-14,7.045423916275772,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,9,3,0.71,0.146,1.088,0.942,4.036000911986625e-14,4.640270497238762,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,13,6,0.334,0.17,0.482,0.312,3.904073094948827e-14,4.556898191449498,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,5,14,9,3.112,3.01,3.206,0.196,5.087823875676289e-14,5.337462864363645,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,10,15,5,1.174,1.066,1.298,0.232,4.904915884079376e-14,4.7934278101542,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,21,14,3.006,2.786,3.158,0.372,3.887642458856285e-14,4.537720083336886,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,13,5,0.602,0.486,0.73,0.244,4.31816296302007e-14,4.959696521553447,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,7,13,6,2.626,2.514,2.734,0.22,8.726982778391991e-14,10.023518449932668,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,13,6,2.232,1.894,2.488,0.594,5.028035920596541e-14,5.868806048420007,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,13,5,2.164,1.898,2.284,0.386,5.169074783529139e-14,5.937025175536422,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,14,6,2.25,2.094,2.386,0.292,4.576300074628577e-14,5.256184112571353,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,10,4,2.038,1.894,2.182,0.288,5.366858265040446e-14,6.170383657785387,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,9,29,20,1.292,1.13,1.414,0.284,4.2082855828790046e-14,4.414769176393305,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,9,17,8,0.49,0.37,0.578,0.208,4.535570112042408e-14,4.432477217506642,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,10,4,0.726,0.528,0.896,0.368,6.054763573403469e-14,6.961282068588681,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,14,8,3.114,2.976,3.25,0.28,3.6724304359742126e-14,4.222266292012497,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,11,4,0.124,0.0,0.336,0.428,5.4469712143696904e-14,6.357794199025895,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,6,13,7,3.156,3.046,3.25,0.224,3.5193669647593684e-14,4.107862882359607,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,12,4,0.27,0.0,0.398,0.26,3.711814486330389e-14,4.263265086139585,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
